id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,2.1186990905126313e-13,2.2055033892707136e-13,4.4989222922029543e-17,1.5827723348719513e-11,2.351793207078711e-12,4.871721599490453e-13,1.4420581011486897e-18,1.0045932778703809e-14,1.141571279287216e-13,9.898554895620041e-11,6.927065189626385e-09,4.0290035806205086e-16,4.905879641894387e-13,1.7026702659359472e-14,1.0314173151486848e-12,1.2390301795347084e-13,1.5182929836706005e-09,1.489863385386076e-14,2.538671607136989e-13,8.440469252271071e-17,1.2472735650974699e-11,7.304150538717214e-12,3.006348652623644e-11,4.9076141244924604e-15,8.245873916751181e-16,5.166049103335739e-13,4.676473876836225e-09,5.18490121148516e-10,9.201927356836028e-15,1.4213528659172205e-11,1.8512908170082272e-19,4.256004594188862e-09,3.994959786334566e-10,8.817764726251101e-10,6.918428291502245e-11,9.789565900941492e-12,7.161843686685912e-15,9.278789129479241e-17,3.2923848335094753e-13,1.6736447335551565e-14,1.8897457000949323e-16,2.5526166301995567e-10,4.610830325871747e-12,3.0272644948885895e-16,5.607916336437117e-11,6.875120766659239e-14,2.991533471652325e-07,4.100553940206661e-18,4.683091823949572e-16,1.4028038413739276e-12,4.751300284748549e-11,0.999998394308694,2.201630567616667e-13,3.167606309612529e-10,2.4848558299552465e-11,4.955481171763633e-10,1.038914211710139e-08,2.0391761771852342e-17,2.5304140660358185e-13,6.595138090764015e-14,1.8540319705543804e-14,1.4128648758892885e-12,1.8195855329572531e-13,5.584605527643784e-13,1.3601132354571566e-07,1.6796300053720954e-12,1.5028290060251052e-09,2.3353362171340308e-18,9.986445624240137e-16,1.4048779512402393e-15,1.9758253487958908e-17,2.419737931091674e-16,2.5927626256840764e-10,1.216813781030335e-16,1.770548162594669e-07,4.845570665325165e-08,5.099975702032412e-18,2.7166806092025164e-12,6.535235599101345e-08,7.708824011301938e-12,1.670074254343575e-10,3.764801061792458e-18,4.066970254146053e-16,7.583713322305569e-07,3.442009952519559e-08,4.3020945316977534e-17,4.900735990347675e-20,2.2127583413874348e-17,5.07753035669387e-08,2.8021668424477628e-18,6.435349399493336e-12,5.1272745984958864e-12,1.7416849405472277e-15,9.642471832078429e-13,1.2535164786787782e-15,5.4045247068044276e-17,3.5448908949284856e-15,3.1076659125137924e-09,3.243111581647902e-16
7,9.644058309204184e-12,1.0010074714950066e-11,1.862684705459306e-09,7.92200054093917e-09,5.074984883916635e-13,1.6661088815586673e-11,8.57899471729664e-08,1.2650507116705024e-11,7.955067371704929e-11,4.998503794035629e-12,3.802871575492292e-14,6.009390394221628e-13,2.520981260749806e-12,6.2100707528859185e-12,1.3453435425212895e-12,3.63750155639133e-11,1.0859283552177895e-12,3.9973108884148467e-10,4.35540658262276e-13,7.649267797592026e-09,7.031411900320022e-12,3.177854802814115e-12,9.526093241625361e-13,4.860599373035668e-12,4.550002185905548e-12,1.6381296105650012e-12,1.198101993715058e-11,3.8023343934775745e-10,2.5233223524347083e-12,1.6337493951172129e-12,1.1810939925869322e-09,5.772700020549465e-12,2.6862663179477062e-11,4.6161645252242543e-14,2.29343552184446e-09,3.4332956184853254e-14,4.858262791722131e-09,4.10253136359736e-11,4.3729555895890214e-08,1.8177727740016828e-09,1.3547854745544847e-08,4.641266799456843e-10,2.501221979196308e-09,3.508301425601136e-08,1.033486908398847e-12,6.729144591179365e-08,5.714115063293649e-14,3.1519763611480666e-06,1.62998002982715e-09,5.19743922773787e-13,0.9999960914449408,4.161164619168957e-12,1.023422369245018e-11,2.08466116475605e-09,1.6968425962899658e-10,1.9194256221376007e-10,9.944490349986071e-12,9.844365953086802e-09,1.9341001427635196e-08,7.531350868096035e-09,1.1708344885155858e-09,1.595207766932738e-10,1.6747624944708387e-13,7.827949270669509e-10,7.863625803258505e-14,3.117292030178845e-13,5.652530554547845e-14,5.76692656263783e-10,9.202018821447267e-10,1.9279201607395395e-07,7.994677116610342e-15,9.8244453930241e-13,6.8269273825602304e-12,3.1789859199796486e-12,2.907479156816677e-14,7.861065818055797e-13,1.1131016022318004e-08,2.3682788671381774e-11,6.887709156419086e-11,3.1348702863000894e-11,5.315048609471329e-13,9.022537406075298e-11,1.533625082841292e-08,1.641267621596301e-09,8.399221376278763e-08,2.908477093373792e-08,5.36652506502183e-09,3.4581898141924796e-08,3.818729050908962e-14,1.0445455483885017e-09,9.033273795549636e-10,1.5882751532730893e-13,5.3011221970607725e-14,1.0055312274979254e-14,3.7822874983815646e-08,1.2543425255177106e-09,1.920799870603112e-08,9.966948150703093e-13,6.959474812772062e-10
9,1.3538510778121239e-08,0.9997463409816317,7.20344055714061e-11,1.915900833652585e-09,0.00021645860666995745,1.319121783700144e-09,4.697288207274749e-10,7.500292065175571e-08,5.999482022063205e-07,1.6993644174135085e-06,5.654467607748219e-10,5.108691111353719e-06,9.422457705887852e-10,2.6353844390702163e-09,9.4445260089169e-08,2.346924642646173e-09,1.4322382951041266e-05,2.1516012125750345e-09,5.246554474316358e-11,6.676619692863934e-08,7.63765432645738e-10,1.1649125243536657e-09,2.0397757328492133e-12,1.0242165195130192e-10,1.3956173246563948e-13,3.501529661293557e-08,5.8317818592890176e-08,3.6337468407551596e-13,2.1204459329852437e-10,1.0147621162758427e-09,1.7620498986371217e-11,1.5130411264345848e-09,9.173886352017258e-09,2.9343777753976663e-08,3.321985035780934e-11,2.3191748986243468e-07,4.0808074239371215e-10,3.3933032272502205e-11,9.12739403311293e-11,4.334191947864436e-09,1.7164209810853925e-08,2.0656142033648333e-08,3.866437509292745e-11,1.399222662812834e-12,9.015368667613368e-10,7.254547092156195e-11,3.1188165684929733e-09,1.980278135252033e-08,1.818034067473298e-08,2.500298705043734e-08,9.02304497663697e-11,5.957911322125169e-12,4.431739389740813e-10,2.354949438986651e-09,4.029382942849485e-09,2.8207362936978167e-10,3.286816431378408e-07,9.847434375142493e-11,3.5461971804593897e-11,1.3753857243181834e-11,9.150834887662608e-10,2.3392393357366158e-12,8.392608187055687e-11,3.691452731130113e-08,1.9171382057360646e-09,7.951349683440814e-11,1.1056123361444967e-08,6.657494583560534e-12,7.834812963659224e-15,3.536382476160467e-09,1.2181383813902528e-10,8.809772522820087e-10,1.7080800466253428e-10,2.8331513503166564e-07,3.350824905578333e-08,5.413625639167942e-10,1.9686516149893005e-12,1.354232863723814e-10,2.080211787828113e-08,5.7988838742713374e-11,3.4885053974130786e-10,8.56205129487625e-12,5.696791563648317e-12,1.3311308528709771e-08,1.3875065446899405e-08,1.3684802131285563e-06,1.6864642787880614e-10,6.828134875898869e-09,1.8779971149316274e-10,1.1428049251412593e-08,1.1348610009889498e-10,1.6785160924045814e-09,1.881957209799817e-09,9.291184074283561e-10,1.745190591508956e-08,5.932434422835104e-08,1.1697057322508352e-11,3.253662099947937e-10,1.2502960407393943e-05
12,7.136051518383499e-13,2.8949091997405367e-07,2.826864334439803e-13,5.609889152494371e-13,1.8048452366058592e-12,2.0191998559670436e-14,6.5423312444879146e-09,4.860966871773576e-10,3.042705237350152e-08,9.204281890803015e-10,5.939841137357651e-15,1.378092432132523e-08,1.3077278668533993e-08,1.3275037322143673e-06,7.733690142188369e-11,1.777889868850454e-10,7.39797340062034e-12,1.4247458604011386e-10,4.08003557229471e-13,0.9999877481744623,2.581210948670825e-12,8.079881124403073e-15,4.460074820344036e-12,1.252648443843375e-15,8.991331465345786e-14,2.5719673860804927e-14,9.184336678682385e-11,6.715588463202878e-14,2.620078797913286e-16,3.622858416867443e-15,5.855102868985262e-14,5.542362377249019e-15,1.6875034368900339e-12,1.4405029617847076e-14,7.195224239636842e-15,1.3599776281344128e-12,1.1067243169634313e-10,2.6093325365363217e-08,1.4641390167364206e-14,5.244085877731019e-11,5.5566361776267434e-11,2.9038241682982787e-07,1.8349361860659967e-14,1.0536592354520934e-12,3.63640891855895e-13,9.347332659710947e-12,1.329927222052058e-15,2.4102477633145185e-06,1.693496998139983e-08,6.9873539317244794e-15,1.75691774609554e-10,4.954080054025715e-16,5.724454543371558e-12,2.1993672898109683e-12,4.100150521319703e-13,2.6980489558331867e-11,5.093482407832573e-14,2.0952132150022413e-10,9.541148881837918e-11,4.2757063089727e-14,2.3592042198271573e-12,7.312092475665658e-16,1.4584082982574504e-12,1.6163847978478802e-09,8.721732752758738e-15,1.2834505000489166e-12,1.093403863268802e-14,1.4516792678400849e-08,4.279410681115643e-13,4.8374295516884286e-14,2.5276631716110023e-13,1.4113594763050012e-13,3.649301941222685e-15,1.1721580176624901e-12,1.25922042803759e-12,6.176221338149e-14,5.6527034863246273e-11,2.2891919792859315e-10,9.083600739790471e-11,4.3006814876128874e-14,1.3186379203681635e-10,8.615490974282399e-14,3.059339394398747e-07,2.395950034073588e-12,3.158045972219518e-11,3.138930822678359e-08,1.4665093694294572e-09,7.365280826160394e-11,9.752112873686846e-15,7.805231430889516e-10,4.534397874833097e-13,3.695141612069038e-12,1.1614991330248898e-12,2.530260718240108e-12,6.630300192139113e-11,7.460468175610508e-06,1.228664478972471e-12,5.76394396396181e-14,7.810305434166654e-09
13,8.781167797370384e-11,3.2112639660992346e-09,1.4836412199932958e-14,2.822650906290219e-13,6.910528844996313e-11,6.6832381392327985e-15,1.7546820431209295e-11,1.315302474163045e-12,1.0440400971644132e-07,7.774975266368973e-10,6.427433709085485e-11,3.423714070799145e-07,1.9481898715151837e-09,9.396328961748322e-10,0.9999993338500325,9.538275407920397e-14,2.91846446402489e-09,3.859191977745589e-09,1.2225942581869437e-11,2.673346962746066e-14,1.3242195328126639e-08,7.560552906761483e-15,2.2491107576780075e-11,9.844343976561463e-14,4.5413670978408023e-13,9.833844346265255e-13,8.359150557791609e-08,1.876259971745045e-12,4.633520803349512e-13,2.2498119101688393e-13,1.4988313094559882e-12,3.982971573745033e-16,3.2206294062964335e-14,1.4642400261246228e-12,1.1134700826995262e-13,7.918855079689394e-12,9.512342799388151e-15,1.4514163027852348e-14,3.272418390460829e-12,1.838970631534526e-15,6.192906540484246e-13,4.218692571808778e-12,8.874345816293959e-14,2.2960434022198364e-12,2.177094735568399e-14,2.5244124446462876e-13,1.891519310269297e-11,5.104720550619082e-10,1.2668413484642478e-08,9.592792206085161e-09,2.5088261769729688e-14,3.4532130080405205e-13,4.344434182092205e-10,4.435987437831527e-11,1.1988562714978577e-13,7.846483702597181e-16,2.212882537204734e-14,3.577644562208245e-13,1.7768280520259924e-11,3.201719148198988e-13,8.999011761999921e-14,1.5830540977956635e-13,1.5841415481047304e-13,3.0978399420335175e-11,1.3122167547146247e-12,2.493579688768755e-14,7.182313419935699e-12,5.309532349031778e-15,1.2074960093026684e-15,4.305415748135731e-15,1.6262797725040352e-13,3.5294660891000457e-12,7.742563071561397e-15,7.127748085045951e-12,3.1813248082549725e-10,1.959077030932107e-12,1.3004478865533593e-13,1.875553532190233e-12,9.206961738153987e-12,3.7380344112019916e-11,3.827002975625724e-11,1.8254959261424603e-12,4.748238397255436e-11,8.303004707815118e-12,3.906674238968622e-13,2.3898073647948216e-13,4.254054870157669e-13,2.4295098119700995e-13,8.408208368642789e-13,1.495705362048711e-10,1.9723862544456466e-13,1.1215415853645818e-08,2.79091126790862e-12,4.209462957000049e-09,2.2673857297221528e-08,4.6514441892886064e-08,6.930445894267856e-12,4.568638443896396e-12,2.4452223291887438e-12
16,1.8460484290660997e-08,1.0863404474197815e-10,8.747827738056126e-09,0.9999102596662761,2.563165857705922e-11,9.604694777635827e-12,9.325514299470126e-09,2.517049285542235e-07,3.15621516035722e-08,3.83245271377241e-12,2.7046752307978677e-09,8.686869708526915e-10,7.0282673947487524e-09,2.9415128361460265e-10,5.829955789401814e-11,4.6453551786601975e-11,1.3717331170193131e-11,9.89149860944175e-09,4.624728757191902e-10,5.103738025972e-08,1.1918128530683265e-10,1.3479782518940839e-07,2.297978019233346e-11,4.4513547585992196e-11,3.3019230263773168e-09,2.0895752856640094e-09,1.5238404349953163e-09,9.546840090892145e-10,1.662002917786789e-09,1.7294911209953982e-11,6.381090151442843e-09,4.614255609790507e-11,2.729586263930898e-09,9.3233264082486e-12,6.765232013075074e-09,2.3403774461138627e-11,1.0210989134085626e-08,1.3463044371517983e-09,1.9746090603798273e-09,4.252248289180305e-10,3.20261175174251e-08,2.3707858835198395e-08,2.6122386239307154e-08,2.5150525141007615e-06,1.181908066225456e-10,6.260591145305715e-09,1.5020698938843358e-10,1.5886457647148396e-09,8.537239147210085e-11,1.888987861225252e-09,4.5070052060613555e-08,1.2256676746508455e-10,1.731416706264086e-07,6.743281088483135e-10,4.215547675507961e-12,2.1704353673134686e-10,9.877541123156448e-12,3.062262051287437e-08,4.201467647796017e-07,6.7751303514604325e-09,1.1005499760977657e-07,1.9309935499619487e-10,2.511327532873151e-09,3.5916081271818737e-10,2.7502858172376616e-12,5.410312611185037e-10,1.545010612309069e-11,5.161730029867822e-08,4.326965063664444e-09,2.7507922870401972e-11,1.1714711667797736e-12,3.8986509443014316e-10,2.6489865627730574e-11,1.797752208725469e-08,4.995670966879739e-12,7.505366016784747e-10,1.838588206093175e-09,2.542145557216106e-10,5.187054510790979e-13,8.068094603323496e-10,4.3383458600058085e-13,1.7187696046191136e-09,1.6487604884586465e-08,5.374393005221948e-08,3.95525659775385e-10,2.645319588684124e-07,8.482466818773473e-05,1.805027328393142e-09,1.3965286903276884e-11,8.071705994820339e-08,2.6042493461847186e-07,1.4780886891380228e-09,1.067179254318677e-08,1.9468931130797606e-10,7.857372367917623e-08,2.091281800981772e-08,4.8718124475500665e-08,1.582848595293733e-08,1.716322187208454e-08
19,7.093951878540882e-10,7.916124724139325e-11,2.631982482920804e-10,0.9999998870632644,4.558279673777029e-13,3.3481097645947125e-13,1.2419906785064566e-10,2.4090026880402596e-10,4.696554752461806e-10,5.349029386723215e-13,1.1633725448981215e-09,1.3932871736125073e-12,4.131567007746153e-09,4.881203314124284e-13,6.1306890089800305e-12,7.513046781831926e-13,5.201643708630705e-12,1.6865833340951286e-11,4.6570725155824485e-12,6.580642436934366e-10,2.271837604535725e-11,2.2102190960401606e-09,5.775234223400537e-14,2.5313698129176016e-12,8.637336319568811e-11,2.473111608493252e-10,1.9232352569255156e-11,5.7036628971515076e-11,3.309038184042087e-11,6.498378292389288e-13,2.2907445800980754e-10,5.066193302737006e-12,1.5319671814648511e-09,6.438548863291719e-14,4.204612509971826e-10,2.71612142455343e-13,3.3285555191078117e-10,4.4321179971012946e-11,3.138232192223195e-10,3.563853456035146e-11,2.1497997771237713e-11,2.997743552987603e-10,2.682106161819564e-10,4.6599648601254265e-09,1.047843315132255e-12,4.260574698436923e-09,1.4516659733937876e-10,2.8189372041756644e-11,3.6774285207897266e-12,3.04518182629755e-12,7.075735767264379e-09,4.2623574726778786e-11,2.9560518594848513e-10,8.963038494296601e-11,4.926063872615316e-14,7.1402770789554136e-12,5.892736627222812e-12,5.329422437512225e-11,1.2496933698532985e-08,3.3985931019576964e-10,1.4999858675939726e-08,1.8828007127653702e-11,3.0021787979980085e-11,9.58412423925104e-12,6.548226393332819e-12,1.5356827488677108e-09,4.038876438273332e-13,3.3424471278881994e-11,1.7070361253626316e-09,4.58211599324281e-12,2.9191869308656424e-14,8.163130427387987e-12,2.942118028687104e-13,3.8882444070761606e-11,8.522446477488218e-14,8.745658189556892e-12,2.1306442072337814e-09,1.568929510902839e-12,1.3256284384500185e-14,3.13510982311684e-10,4.9325267834375507e-14,4.920939321557702e-09,1.4924006304753593e-10,3.6306883917030985e-10,1.1277400684715361e-10,4.2577576080208756e-09,7.85590953925324e-10,1.7038259458293066e-09,6.7738874008496046e-15,2.488964127615198e-10,3.223222112309072e-09,7.357576753779716e-11,2.056476608221293e-10,1.889741450282747e-12,7.304920057893172e-09,3.596042937430156e-11,1.2225832032311977e-08,1.7015054438735483e-11,1.2891612277345946e-08
23,5.7504927179799286e-12,4.342128177744246e-11,9.102912559846311e-08,1.8239419095719702e-10,3.008096002480614e-10,7.455461749420387e-05,9.967384859494143e-09,2.547800004991749e-10,4.332107024644429e-14,6.531418554298007e-11,9.16798124486913e-14,4.48041315062713e-11,5.273151468643653e-12,4.869868305909012e-12,1.5484095318490433e-12,4.4933647622633133e-07,2.2233310039484604e-12,1.3569956619707756e-12,1.957487776000834e-09,1.8989048560517164e-10,9.304553943344003e-10,1.4631381653010647e-10,6.163482516236551e-11,2.7964783512978412e-08,9.956830105328464e-09,1.367799294538805e-10,5.741169383483009e-14,8.720472806373168e-11,0.9999145431006924,4.495337537780046e-06,2.4770909946179347e-07,3.143762722276657e-13,7.504577403751949e-10,3.7623889137396164e-11,3.748032430889671e-09,1.2283493067493512e-09,1.4665578097182894e-11,1.5358653434071534e-08,1.0793439672753486e-10,7.764327390369172e-09,8.042932726383629e-11,2.648129067194141e-13,6.242717392145535e-08,5.448871503312244e-10,8.065035574821569e-12,6.007488949663776e-11,1.9920802617462256e-13,9.142184058799055e-11,7.497481561630988e-12,2.2789307344615773e-12,4.484189985043281e-10,9.429988877423488e-10,7.526341825445004e-11,3.373333739125564e-11,1.736550247443532e-11,4.569894349856361e-06,2.5827701975575754e-08,1.5676113467113166e-09,8.559244415530512e-12,7.128504762024528e-11,4.468321566595289e-10,3.803548992487557e-10,2.5057899449731184e-10,2.7000112746803017e-11,6.020348474873406e-11,4.504763601643074e-09,6.133848688471198e-10,1.607584261113474e-09,6.419331276255499e-10,3.321948858852561e-08,2.9476869578370576e-07,3.857634150408111e-07,2.8453814195617376e-10,3.796547058941222e-11,3.915155371233772e-13,2.9797051340801564e-13,1.1898205637227159e-08,2.061446385760517e-11,1.1520400943459053e-12,2.2026893498542257e-09,4.299274644336698e-10,4.076473820159744e-08,6.951750612693551e-12,1.4105235037193822e-14,5.118668795239055e-10,3.3832815130480404e-11,3.584613737474738e-11,9.034797474867971e-08,2.0241561665397952e-11,4.5723956730511563e-10,1.7905976595088072e-09,3.4002823715471377e-11,6.789327949690549e-11,9.122144617797121e-11,1.383272235183685e-12,6.844457088561364e-13,1.081483115330183e-10,9.097078001789256e-12,3.996381005149611e-09
24,1.009615862354834e-09,8.266428756577514e-11,1.2034209390021996e-11,3.4983019863339446e-14,2.7027710215929343e-12,6.179444869171433e-11,7.043675676456708e-13,5.246872423727321e-14,1.3030852003130672e-09,1.5300695440095508e-12,7.012464393495421e-12,1.7890540707222495e-14,6.64536141979589e-14,2.867796960159183e-13,3.159434644748583e-13,8.725920469422308e-12,2.9812931226811844e-09,4.05425939096724e-13,3.984331267188225e-14,4.519045366043141e-12,1.7814507226832783e-10,3.567657727711523e-12,9.782907499825311e-18,1.6822590369738358e-12,1.7790938520205886e-16,2.1087924569940578e-13,1.5953236305602941e-12,4.569954048782488e-12,1.796557721671214e-15,2.2509478259107482e-12,6.074289663119316e-15,1.4862149600422922e-08,2.610473669962537e-10,2.9546955821043247e-11,2.6587084667535073e-11,1.0488206100287205e-13,2.3522255735910277e-12,4.959225788877814e-10,1.172199700095146e-10,2.647936450750592e-10,9.843480926525839e-12,4.707973580824122e-12,5.534207713608405e-12,3.9427031094295864e-13,3.639077554886077e-12,1.9652917855175428e-10,1.0641236611519339e-15,6.4164412486141425e-12,1.7607727468228737e-14,1.690090906717415e-11,5.449324222420257e-13,1.2055789415328551e-09,2.0230130629000944e-15,2.801502750549949e-15,6.662424362714814e-12,6.921241344166463e-13,4.59440382577913e-13,1.7850895718295924e-12,2.478060602616234e-09,6.806217143261346e-09,5.061971254173793e-13,2.957995107328553e-14,1.2990859930070852e-15,6.370821253912541e-14,6.49011834712628e-13,5.005632763764889e-13,1.4551969766772498e-13,3.623220771193506e-14,3.893080207228892e-12,4.835518030870824e-09,1.1937459285421527e-13,1.0324202596312057e-14,2.1762312302403393e-09,1.6334042481396077e-16,2.379958058281356e-10,4.306184113945245e-13,1.721687220682818e-13,9.860573290124578e-11,5.151323772739064e-10,1.321490504077469e-13,9.707730101137259e-15,4.5011448840586455e-12,5.655416252634386e-12,1.2404780989042748e-11,0.9999999589082899,1.2808494036145355e-12,2.815491923253055e-14,5.687299955720278e-11,1.2039464814579932e-13,3.9276721416396445e-11,3.65723833538054e-12,9.107649373021258e-14,1.192061760874076e-14,6.282924939659772e-14,6.243325237217869e-10,4.5224118467612154e-13,6.454532077332578e-15,7.445305137540553e-14,5.250145086895648e-14
28,3.2432488288831485e-09,9.139354065960049e-09,6.259335566528756e-13,1.2991698086118842e-08,2.1761544086379228e-11,1.893607123290897e-13,8.148595058365292e-10,1.564550557207408e-07,0.999999723578689,6.658857565072092e-11,2.1901162471164715e-08,1.1192847405006162e-09,3.720763022407127e-08,4.2001586960347264e-10,2.43132503753313e-09,4.377042721708802e-12,2.1723356336653886e-10,1.5282219564007003e-10,2.131611905396829e-12,2.4098811400283736e-09,7.219833567711154e-11,5.693818369636544e-14,4.4690783946334325e-13,7.612157680738572e-14,5.613020809311032e-14,1.0670628298808792e-13,2.533310883423874e-09,2.9212679614123895e-13,2.0678579576771937e-14,7.910632529600494e-16,7.086293430397038e-13,2.3731159732744495e-12,3.0100747436038505e-11,1.4105097689416227e-10,1.0948753652157707e-12,3.196714119263621e-10,1.3744605803454563e-11,6.331901575323023e-11,3.1382643234782493e-15,9.016727694218085e-11,2.2716035076823245e-11,5.050269052369572e-11,4.67465049780207e-13,9.568633216054478e-15,1.404631914702122e-11,1.1239272854917059e-11,1.8434737366426024e-11,9.002770492735158e-12,2.6021872426392804e-09,7.097734133213412e-12,6.139088457356691e-14,2.3036628314372557e-14,1.361448195497065e-11,1.882279335819766e-11,5.779631946682715e-12,1.1942212167961681e-11,4.4397259233768564e-13,3.0057374849748705e-13,3.88631454172809e-11,1.5755953432149314e-13,2.8605904457348904e-13,9.744709341257446e-14,7.760997542647424e-12,1.2981627486748159e-11,9.491592878858022e-11,2.7541142064138097e-12,1.6802784393359182e-13,1.6054104601809414e-13,7.2053790330431e-14,3.2965269621015895e-12,6.8610577672076e-13,1.5903310518262607e-12,2.939173687285592e-14,1.3033915187503038e-11,3.2888110378209035e-11,2.8471278639916233e-12,2.8445105441182473e-12,1.9020363922084742e-13,1.9674670467057602e-10,1.2189301876361668e-12,6.302613219140303e-11,1.9154190006344655e-12,1.9650607123804834e-09,9.76287435695029e-10,3.733858241019654e-10,1.2057789411281355e-10,6.070113972497423e-11,6.107602325563142e-13,2.0034787597037727e-14,1.0799663633044067e-09,2.918979886384575e-13,2.6034166176408146e-09,1.3268507772427535e-09,1.129942142865786e-09,1.0677232318547553e-08,9.700198540073442e-10,1.1766466982350607e-13,6.422247681618273e-14,3.4976878018558287e-12
