Dimensions of train (2000, 3600)
Dimensions of test (3200, 3600)
Dimensions of our training data:  (2000, 64, 64, 3)
Dimensions of our testing data:  (3200, 64, 64, 3)
Cost before minimization: 1.43513
Global step: 50
Cost after minimization: 0.330828
Total time for minimization = 22.3322 seconds
(3200, 4)
[ 3.] 3
[ 1.] 1
[ 3.] 3
[ 3.] 4
[ 1.] 1
[ 2.] 2
[ 2.] 2
[ 3.] 4
[ 3.] 3
[ 4.] 4
[ 4.] 4
[ 4.] 4
[ 2.] 2
[ 3.] 4
[ 2.] 2
[ 1.] 1
[ 1.] 4
[ 3.] 3
[ 4.] 4
[ 1.] 4
[ 1.] 1
[ 2.] 2
[ 4.] 4
[ 2.] 2
[ 3.] 3
[ 4.] 4
[ 3.] 3
[ 3.] 3
[ 2.] 2
[ 4.] 4
[ 1.] 1
[ 4.] 3
[ 2.] 2
[ 2.] 1
[ 1.] 1
[ 4.] 4
[ 4.] 4
[ 4.] 4
[ 3.] 3
[ 3.] 4
[ 3.] 1
[ 1.] 1
[ 4.] 2
[ 2.] 4
[ 3.] 3
[ 1.] 1
[ 3.] 3
[ 4.] 4
[ 2.] 2
[ 2.] 2
[ 2.] 2
[ 1.] 1
[ 2.] 2
[ 4.] 3
[ 2.] 2
[ 3.] 3
[ 3.] 4
[ 2.] 2
[ 2.] 2
[ 3.] 4
[ 1.] 1
[ 3.] 4
[ 3.] 3
[ 4.] 4
[ 2.] 2
[ 3.] 3
[ 2.] 2
[ 4.] 3
[ 1.] 1
[ 2.] 2
[ 2.] 2
[ 3.] 4
[ 2.] 4
[ 4.] 4
[ 1.] 1
[ 1.] 1
[ 3.] 3
[ 3.] 4
[ 2.] 2
[ 3.] 3
[ 3.] 3
[ 1.] 4
[ 4.] 1
[ 1.] 1
[ 4.] 4
[ 4.] 4
[ 1.] 1
[ 2.] 2
[ 1.] 1
[ 4.] 3
[ 1.] 1
[ 4.] 4
[ 3.] 3
[ 1.] 2
[ 1.] 1
[ 1.] 1
[ 3.] 4
[ 3.] 3
[ 4.] 4
[ 3.] 3
[ 3.] 3
[ 3.] 4
[ 2.] 1
[ 1.] 1
[ 3.] 3
[ 3.] 3
[ 3.] 3
[ 2.] 2
[ 3.] 4
[ 2.] 2
[ 1.] 1
[ 4.] 4
[ 3.] 4
[ 3.] 3
[ 2.] 2
[ 4.] 4
[ 3.] 3
[ 2.] 2
[ 1.] 1
[ 1.] 1
[ 2.] 2
[ 1.] 1
[ 3.] 3
[ 3.] 4
[ 2.] 2
[ 1.] 1
[ 2.] 2
[ 1.] 1
[ 2.] 2
[ 1.] 1
[ 3.] 3
[ 2.] 2
[ 2.] 2
[ 3.] 3
[ 4.] 4
[ 1.] 1
[ 1.] 2
[ 3.] 3
[ 1.] 1
[ 4.] 4
[ 3.] 3
[ 1.] 1
[ 1.] 4
[ 3.] 4
[ 2.] 2
[ 3.] 3
[ 3.] 3
[ 1.] 1
[ 3.] 3
[ 3.] 3
[ 1.] 1
[ 2.] 3
[ 4.] 4
[ 4.] 4
[ 1.] 1
[ 3.] 4
[ 1.] 1
[ 4.] 4
[ 4.] 4
[ 3.] 3
[ 1.] 1
[ 3.] 3
[ 4.] 4
[ 1.] 1
[ 4.] 4
[ 2.] 2
[ 4.] 2
[ 1.] 1
[ 3.] 4
[ 3.] 3
[ 2.] 2
[ 1.] 2
[ 1.] 1
[ 4.] 4
[ 3.] 3
[ 2.] 3
[ 3.] 3
[ 4.] 4
[ 3.] 3
[ 3.] 3
[ 2.] 2
[ 2.] 1
[ 4.] 4
[ 4.] 4
[ 1.] 1
[ 2.] 2
[ 2.] 2
[ 1.] 1
[ 3.] 3
[ 3.] 3
[ 1.] 3
[ 1.] 1
[ 1.] 1
[ 1.] 1
[ 1.] 1
[ 2.] 2
[ 2.] 2
[ 3.] 4
[ 4.] 4
[ 3.] 3
[ 2.] 2
[ 3.] 3
[ 4.] 4
[ 3.] 4
[ 1.] 1
[ 4.] 4
[ 3.] 3
[ 4.] 4
[ 2.] 2
[ 4.] 4
[ 4.] 3
[ 4.] 4
[ 1.] 1
[ 3.] 3
[ 4.] 4
[ 3.] 3
[ 4.] 4
[ 3.] 4
[ 2.] 2
[ 2.] 2
[ 4.] 3
[ 1.] 1
[ 1.] 1
[ 2.] 2
[ 1.] 1
[ 3.] 3
[ 1.] 3
[ 3.] 3
[ 4.] 4
[ 1.] 2
[ 3.] 2
[ 1.] 1
[ 1.] 1
[ 2.] 3
[ 4.] 4
[ 4.] 4
[ 2.] 2
[ 3.] 4
[ 2.] 2
[ 4.] 1
[ 4.] 4
[ 1.] 1
[ 1.] 1
[ 1.] 1
[ 3.] 2
[ 2.] 2
[ 4.] 4
[ 3.] 3
[ 1.] 1
[ 1.] 1
[ 1.] 4
[ 1.] 1
[ 1.] 2
[ 4.] 4
[ 2.] 2
[ 4.] 4
[ 4.] 4
[ 1.] 1
[ 4.] 4
[ 4.] 4
[ 4.] 4
[ 3.] 3
[ 1.] 1
[ 3.] 4
[ 3.] 3
[ 2.] 2
[ 2.] 2
[ 1.] 2
[ 2.] 2
[ 3.] 4
[ 3.] 2
[ 1.] 1
[ 3.] 3
[ 3.] 4
[ 1.] 1
[ 1.] 1
[ 3.] 3
[ 3.] 3
[ 3.] 3
[ 1.] 1
[ 4.] 4
[ 4.] 3
[ 1.] 1
[ 2.] 2
[ 3.] 3
[ 4.] 4
[ 2.] 3
[ 4.] 4
[ 2.] 2
[ 1.] 2
[ 3.] 3
[ 3.] 3
[ 1.] 1
[ 1.] 1
