RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       314584     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.828D+00  3.397D+02
    1    2     1     0  ---    0  9.2D-03  1.0D+00  1.458D+00  2.440D+02
    2    3     0     0  con    0  1.0D+00  3.3D+00  2.264D-01  9.826D+01
    3    4     0     0  con    0  1.0D+00  8.5D-01  1.380D-01  8.826D+01
    4    5     0     0  con    0  1.0D+00  1.0D+00  1.330D-01  8.257D+01
    5    6     0     0  con    0  1.0D+00  1.4D+00  1.260D-01  7.755D+01
    6    7     0     0  con    0  1.0D+00  4.0D+00  1.291D-01  6.571D+01
    7    8     0     0  con    0  1.0D+00  8.8D+00  1.504D-01  4.504D+01
    8   10     0     0  con    1  1.0D-01  1.8D+00  1.557D-01  4.185D+01
    9   11     0     0  con    0  1.0D+00  9.6D+00  4.776D-02  3.101D+01
   10   12     0     0  con    0  1.0D+00  2.7D+00  7.670D-02  3.022D+01
   11   13     0     0  con    0  1.0D+00  3.5D+00  6.710D-02  2.945D+01
   12   15     0     0  con    1  4.3D-01  3.0D+00  1.101D-01  2.907D+01
   13   16     0     0  con    0  1.0D+00  4.2D+00  3.383D-02  2.848D+01
   14   17     0     0  con    0  1.0D+00  1.7D+00  2.680D-02  2.838D+01
   15   18     0     0  con    0  1.0D+00  2.6D+00  3.798D-02  2.821D+01
   16   19     0     0  con    0  1.0D+00  5.0D+00  1.244D-01  2.779D+01
   17   20     0     0  con    0  1.0D+00  4.8D+00  7.133D-02  2.720D+01
   18   21     0     0  con    0  1.0D+00  6.3D+00  1.421D-01  2.673D+01
   19   22     0     0  con    0  1.0D+00  3.2D+00  7.218D-02  2.627D+01
   20   23     0     0  con    0  1.0D+00  5.1D+00  7.605D-02  2.595D+01
   21   24     0     0  con    0  1.0D+00  5.8D+00  6.334D-02  2.565D+01
   22   25     0     0  con    0  1.0D+00  2.6D+00  6.307D-02  2.533D+01
   23   26     0     0  con    0  1.0D+00  2.4D+00  1.485D-01  2.466D+01
   24   27     0     0  con    0  1.0D+00  7.6D+00  1.469D-01  2.305D+01
   25   28     0     0  con    0  1.0D+00  2.9D+00  1.860D-01  2.285D+01
   26   29     0     0  con    0  1.0D+00  1.0D+00  7.895D-02  2.237D+01
   27   30     0     0  con    0  1.0D+00  1.4D+00  3.604D-02  2.216D+01
   28   31     0     0  con    0  1.0D+00  1.2D+00  3.949D-02  2.197D+01
   29   32     0     0  con    0  1.0D+00  3.0D+00  9.690D-02  2.156D+01
   30   33     0     0  con    0  1.0D+00  5.5D+00  1.385D-01  2.100D+01
   31   34     0     0  con    0  1.0D+00  3.5D+00  7.789D-02  2.036D+01
   32   35     0     0  con    0  1.0D+00  2.1D+00  6.473D-02  1.977D+01
   33   36     0     0  con    0  1.0D+00  3.3D+00  1.346D-01  1.939D+01
   34   37     0     0  con    0  1.0D+00  6.7D-01  5.046D-02  1.913D+01
   35   38     0     0  con    0  1.0D+00  5.3D-01  3.339D-02  1.904D+01
   36   39     0     0  con    0  1.0D+00  1.4D+00  3.579D-02  1.886D+01
   37   40     0     0  con    0  1.0D+00  1.7D+00  8.340D-02  1.867D+01
   38   41     0     0  con    0  1.0D+00  2.6D+00  7.744D-02  1.837D+01
   39   42     0     0  con    0  1.0D+00  5.2D+00  1.624D-01  1.808D+01
   40   43     0     0  con    0  1.0D+00  1.5D+00  7.380D-02  1.773D+01
